iter	Passed	Remaining
0	2	241
1	4	222
2	6	197
3	7	176
4	9	172
5	10	162
6	11	158
7	13	153
8	14	147
9	16	145
10	17	142
11	19	140
12	20	137
13	21	134
14	23	132
15	24	128
16	25	125
17	26	122
18	27	118
19	28	115
20	29	112
21	30	109
22	31	105
23	32	103
24	33	100
25	34	97
26	35	95
27	36	92
28	36	90
29	37	87
30	38	85
31	38	82
32	39	80
33	40	78
34	41	76
35	41	74
36	42	72
37	43	70
38	44	68
39	44	67
40	45	65
41	45	63
42	46	61
43	47	60
44	47	58
45	48	57
46	49	55
47	50	54
48	51	53
49	51	51
50	52	50
51	53	49
52	54	47
53	54	46
54	55	45
55	55	43
56	56	42
57	57	41
58	58	40
59	58	39
60	59	38
61	60	37
62	61	35
63	61	34
64	62	33
65	63	32
66	64	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	68	25
73	69	24
74	70	23
75	70	22
76	71	21
77	72	20
78	73	19
79	73	18
80	74	17
81	75	16
82	76	15
83	76	14
84	77	13
85	78	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	86	2
97	87	1
98	88	0
99	88	0
